title,contributor_name,code_link,mentors,organization,technologies,topics,project_details,url
Integrate mfsBSD into the release building tools,Soobin Rho,https://wiki.freebsd.org/SummerOfCode2023Projects/IntegrateMfsBSDIntoTheReleaseBuildingTools,"jrm, Juraj Lutter",The FreeBSD Project,"C, make, Bash Shell",Build infrastructure,"This project integrates mfsBSD into the FreeBSD release tool set, creating an additional target of mfsBSD images (.img for disc and .iso for optical images) into the `/usr/src/release/Makefile`. Until now, mfsBSD only existed outside the FreeBSD release tool chain, and only the -release versions have been produced. With this project, mfsBSD images are now available at the official FreeBSD release page, and you can also build mfsBSD yourself by invoking `cd /usr/src/release && make release WITH_MFSBSD=1`, which will then create `mfsbsd-se.img` and `mfsbsd-se.iso` at `/usr/obj/usr/src/${ARCH}/release/`.",https://summerofcode.withgoogle.com/programs/2023/projects/Pw6wO1Ng
Linux backend for Virtual Desktops on Meta Quest Headsets,Soumya Ranjan Patnaik,https://github.com/SoumyaRanjanPatnaik/VirtualDesktopQuest,"Carlos Fernandez Sanz, Candela",CCExtractor Development,"rust, wayland, webrtc, Wayland Roots","vr, Virtual Desktop","Some VR headsets such as Meta's Quest 2 come with a Virtual Desktop tool that lets you connect your computer to the headset and get virtual desktops. There's a client-side application (Meta Horizon Workrooms) and a desktop-side component. The desktop-side component exists for Windows and Mac, but not for Linux. That's what we want to build. The goal is to come up with a working prototype that is good enough for early adopters to play with and other developers to join the effort.",https://summerofcode.withgoogle.com/programs/2023/projects/60fNTaAh
Move R Interface of Volesti to a New Repository,Soumya Tarafder,https://geomscale.github.io/Progress-of-Rvolesti-GSoC23/,"Vissarion Fisikopoulos, Apostolos Chalkis",GeomScale,"python, github, c++, r",Process Optimization,"The main goal of this project is to create a dedicated repository for the R interface code of Volesti, a tool developed by GeomScale for volume computation and sampling in high dimensions. Currently, both the C++ and R interface code reside in the same repository. To achieve this, the existing codebase will be split into two separate repositories. This separation will involve modifying the package description file, R documentation files and R source code files in the new R interface repository. Additionally, the existing tests will be adjusted to match the new package structure and a comprehensive set of test cases will be developed to cover all the essential features of the R interface. Furthermore, the R interface code will be updated to ensure compatibility with the latest versions. Lastly, thorough documentation will be created for the new R interface, explaining the functionality of various functions and arguments, providing practical examples of package usage and demonstrating how the R package integrates with the wider Volesti ecosystem.",https://summerofcode.withgoogle.com/programs/2023/projects/Ju6SPJP1
"Democratizing Government Documents: A Comprehensive System for Access, Discovery, and Analysis",SoumyaGupta,https://git.archive.org/soumya/gsoc_ia_1/-/blob/main/finevadoc.md,Jamie Joyce,Internet Archive,"python, postgresql, sql, spaCy","machine learning, object extraction, database administration","The objective of this project is to create a document retrieval and recommendation system powered by NLP, with an emphasis on allowing effective token extraction from massive amounts of text data. In addition to automatically identifying and retrieving related or quoted documents, the system will enable users to look for and retrieve pertinent documents based on author, date, and other metadata. To do this, we will create a set of APIs and ingestion protocols that allow text data to be parsed and tagged while utilising ensemble learning, W2V, and LSA/LDA algorithms to produce tailored suggestions based on user preferences. Additionally, we'll put in place a user-friendly front-end interface that allows API-based queries, extensive unit testing, and optimisation. A completely working document retrieval and recommendation system, as well as a strong set of APIs and ingestion protocols for processing sizable amounts of text data, will be included in our deliverables. In-depth documentation outlining the system's design, implementation, and usage policies will also be made available. Our overall goal is to offer organisations looking to extract valuable insights from their text data a creative and practical solution that will allow for improved business outcomes and more informed decision-making.",https://summerofcode.withgoogle.com/programs/2023/projects/pKvq93oa
Maintain and Port Sugar activities to Flatpak,Sparsh Goenka,https://github.com/sugarlabs/GSoC/blob/master/archives/2023/student-reports/Maintain-and-Port-Sugar-Activities-to-Flatpak.md,"Chihurumnaya Ibiam, tchx84",Sugar Labs,"python, gtk, pygame",vision,"A number of Sugar activities are bundled with Flatpak as a way to reach a broader audience within the Linux community. This project aims to keep those activities up to date and also port new sugar activities to Flatpak, including the two popular activities Pippy and Physics.",https://summerofcode.withgoogle.com/programs/2023/projects/GUSDsFPO
Astronomy using Unevenly Sampled Data,Sri Guru Datta Pisupati,https://pupperemeritus.github.io/gsoc_blog/projectreport/,"Matteo Bachetti, dhuppenkothen",OpenAstronomy,python,"astronomy, astrophysics, Time Series Analysis, X-Ray Astronomy, spectral timing, unevenly spaced time series","Stingray is a python package that provides X-ray spectral timing analysis tools to the community of astronomers around the world. X-ray data may not always be evenly spaced. For example when Earth regularly blocks the object of interest as the space telescope orbits the Earth or when the instrument has faults due to system malfunction or cosmic rays hitting the instrument sensors. When the data is evenly spaced, we can use the Fourier domain methods such as power spectrum and cross spectrum in practical time frames to decompose the signal into its various periodic elements. But when the data is unevenly spaced we cannot use the same methods. Lomb Scargle Periodograms and Cross Spectra can be used for analyzing unevenly spaced data. There are various ways to optimize the Lomb Scargle Periodogram's runtime speed such as those introduced by William H. Press and George B. Rybicki. Deliverables include Lomb Scargle Power Spectrum, Lomb Scargle Cross Spectrum, helper functions(to setup an object with certain inputs for example) and statistical functions(like time lags and phase lags).",https://summerofcode.withgoogle.com/programs/2023/projects/C8Rwdz3J
Project Explainer: Summarization using Large Language Models,Sripravallika,https://github.com/c2siorg/GSoC/blob/master/GSoC-2023/10-Sripravallika-Project-Explainer.md,Mehant K,SCoRe Lab,"python, redis, flask, html/css, pytorch, HuggingFace, Accelerate","data science, systems, Language Models, Fondation Models, Natural Language Processsing","Large Language Models are picking pace very quickly and they are turning out to be extremely good in multiple tasks. With the help of zero-shot, few-shot, and fine tuning techniques we could effectively specialize a language model for the use case. Summarization is one such use case that has been widely researched for a couple of years now. Broadly there are techniques such as Abstractive and Extractive approaches. The motive of this project proposal is to handle the summarization task (mostly Abstractive + Extractive hybrid approach) through the language model’s (foundation model) lens. This project aims to cover everything from data collection, EDA, experimenting with different language models to developing production-scale system that can take GitHub repo as reference and provide summary. One of the challenges that is novel is to use smaller sized models to achieve great performance in summarization. SCoRe Lab has been into developing solutions in the space of making user life easier with products such as D4D, Bassa, Track Pal, and others. This project will add to that portfolio and would be a great reference for AI practitioners and system developers which aims to work right from data to production-grade end product using AI and Systems.",https://summerofcode.withgoogle.com/programs/2023/projects/eJoLPhgw
Improving the Bundle Creator,Srirupa Datta,https://community.kde.org/GSoc/2023/StatusReports/SrirupaDatta,"Halla Rempt, Emmet O'Neill, Dmitry Kazakov",KDE Community,"c++, qt",end user application,"The primary format to share resources in Krita is a Resource Bundle, which is a compressed file containing all the resources together. It also contains some other information like metadata and a manifest so Krita can check there’s no errors in the file. Krita’s Bundle Creator allows one to create their own bundle from the resources of their choice. The project aims to improve the user interface of the current Bundle Creator, and allow the ability to edit bundles (which is currently not supported in Krita).",https://summerofcode.withgoogle.com/programs/2023/projects/SB6pWpuy
Make GNOME Platform Demos for Workbench,Sriyansh Shivam,https://sonichere.hashnode.dev/gsoc-2023-final-report,"Sonny Piers, Andy Holmes",GNOME Foundation,"c, linux, javascript, gtk, glib, GIO, GJS, Libportal","graphics, user interface, gtk, user experience, GLib, GIO, GJS","GOAL OF THE PROJECT: 1) Create beginner-friendly and easy-to-understand examples/demos for all widgets of GTK 4.10 and Libadwaita 1.3 to help newcomers understand how to use them effectively. 2) Provide ready-to-use code snippets of the widgets/APIs covered, making it easier for developers to integrate them into their projects. 3) Cover GLib/GIO and Libportal APIs and create relevant examples to help developers understand how to use them in their applications. 4) Create demos while taking UI and UX design concepts into account to showcase how to make aesthetically pleasing and functional user interfaces. 5) Cover GNOME HIG Patterns to ensure that the examples and demos follow the GNOME Human Interface Guidelines, making them consistent with other GNOME applications and user-friendly for users. 6) Implement Search function in Workbench 7) Implement the Keyboard-Shortcuts feature in Workbench to ease the development-workflow Overall, by providing detailed examples and demos for these APIs and widgets, developers will be able to learn how to use them more effectively, resulting in more efficient and user-friendly apps. The project would be very beneficial to GNOME and its community in the following ways: 1) Showcase GNOME platform capabilities 2) Provide an alternative to lengthy tutorials and dense API references 3) Provide quick and ready to use snippets for GNOME Developers 4) Help on-board new developers and lower the barriers to enter the community 5) Cover the widgets that lack documentation in the official documentation",https://summerofcode.withgoogle.com/programs/2023/projects/3Bjrr6So
Create a gprMax custom kernel and that can be installed in Jupyter notebook,srutanik,https://github.com/srutanik/GSoC_23,"Rania Patsia, John Hartley",gprMax,"python, cython, git, jupyter notebook, Matplotlib, PyVista","simulation software, model building, visualiztion in jupyter notebooks",gprMax is CLI interface software which is used to solve electrodynamics problems by solving Maxwell's Equations using FDTD method. It is also used to simulate Ground Penetrating Radar for various industry and academia purpose. But it's installation can become a bit cumbersome and nowadays people prefer a GUI interface. Hence I helped to develop a custom gprMax kernel which can be used to build and run models in Jupyter Notebooks. I also developed a python function that can be used to visualize the 3D geometry of the models in notebook environment.,https://summerofcode.withgoogle.com/programs/2023/projects/9kFAAx7H
Classification of body-keypose trajectories of gesture co-occurring with time expressions using GNNs,SSP,https://medium.com/@f20200731/google-summer-of-code-23-red-hen-labs-6bc683056ebf,"Peter Uhrig, Ilya Burenko",Red Hen Lab,"python, pytorch, Openpose, PRAAT","computer vision, deep learning, graph neural networks, Gesture recognition, Multimodal","This project aims to improve the previous iteration of the project where the hypothesis of it was the existence of a relation between the body gestures and the time expressions we speak and using neural networks we try to accept or reject this hypothesis. So, I proposed a new multimodal graph-based neural network architecture to classify the body keypose points by constructing a spatio-temporal graph and audio features are fused with it to converge the model to test this hypothesis. Also, suggested transfer learning to overcome the lack of data.",https://summerofcode.withgoogle.com/programs/2023/projects/989BTxO8
Refactoring Staggering Drupal CSS Codebase,stanzin norzang,https://stanzin7.github.io/myPortfolio/bondPeriod,Aditya Bathani,Drupal Association,"github, html, git, php, css, PostCss",web,"The Drupal CSS Modernization Initiative aims to upgrade Drupal's core CSS codebase using modern CSS techniques. Given the many files of CSS within the Claro theme of Drupal, the process of refactoring is expected to take several weeks. By utilizing new selectors and properties such as is(),: where(), CSS custom properties, and CSS Grid, the project will enhance Drupal's frontend design and improve the user experience. The project plan includes in-depth research, thoughtful recommendations, thorough implementation, rigorous testing, and comprehensive documentation to ensure efficient management and timely delivery. Ultimately, the project will contribute to Drupal's long-term sustainability and success by making its CSS more maintainable and robust. As part of a large-scale project for GSOC, this initiative represents an important step forward in improving Drupal's frontend development capabilities and ensuring its continued relevance in the rapidly-evolving web development landscape.",https://summerofcode.withgoogle.com/programs/2023/projects/furG843S
Development of Attractors.jl,Stefan Vayl,https://gist.github.com/StefanVaylBX2023/24e9d8bf54315e217fc272181da9b7d8,Datseris,The Julia Language,"github, julia","Numerical Analysis, Time Series Analysis, dynamical systems, Attractors, Basins, Nonlinear dynamics","The main aim of this project is to expand the capabilities of Attractors.jl. We are specifically targeting three features, which are the Minimal Fatal Shock Algorithm, Automatic Attractor Characterization, and Optimizations of the recurrence algorithm. To be more specific, these three features encompass the following aspects: a novel algorithm for predicting the behavior of arbitrary systems under critical conditions, optimization, and improvement and optimization of the existing algorithms to expand their functionality and cover the weak points. We are confident that incorporating these new features will result in substantial improvements of the Attractors.jl library and will be highly valued by the nonlinear dynamics community in Julia.",https://summerofcode.withgoogle.com/programs/2023/projects/GSsHIPiy
Automated Documentation Generation,Stoyan,https://checkstyle.org/checks.html,"Roman Ivanov, Nick Mancuso",checkstyle,"python, java, bash, Maven","automation, documentation, javadoc, Xdoc","The goal of this project is to automate the generation of documentation for checkstyle modules - checks and filters. To achieve that, multiple Doxia macros are implemented - for the examples, properties, parent module, and violation messages. These macros are then used in XDoc templates that generate the final website. Moreover, the class Javadoc of every module is to be removed in order to avoid having to keep the same documentation in sync in two places. All this achieves more accurate examples in the documentation website and less workload for developers who have to maintain the documentation.",https://summerofcode.withgoogle.com/programs/2023/projects/IOtzfIPj
Improving Automatic Reviewer Assignment using Large Language Models For NBDT Journal,Subhankar Panda,https://medium.com/@neutrino334455/gsoc-2023-improving-automatic-reviewer-assignment-using-large-language-models-for-nbdt-journal-a-11e0068b7a0d,"Titipat Achakulvisut, Daniele Marinazzo, Björn Brembs",INCF,"python, tensorflow, numpy, pytorch, pandas, keras, HuggingFace, Google Colab, LLMs","machine learning, natural language processing","Matching papers to reviewers based on topics is a crucial task for the Neurons, Behavior, Data Analysis, and Theory (NBDT) journal. However, the current automatic reviewer assignment tool that uses SciBERT embeddings, cosine similarity, and linear programming may not capture the semantic meaning of the text accurately. This project aims to address this limitation by finetuning SciBERT on the relevant corpus of data and selecting the appropriate optimization objectives. SciBERT can learn from both the left and right contexts of words and has a vocabulary that is more suitable for scientific texts than BERT. The project will involve creating a training dataset, pre-processing it, generating the appropriate features, selecting and fine-tuning SciBERT, generating the word embeddings from the fine-tuned SciBERT and choosing the appropriate optimization objectives (Contrastive Learning, Learning to Rank Diversely, and LambdaRank) according to the dataset obtained and the subsequent evaluation of its performance. The expected outcome is an improved tool that more accurately matches papers to reviewers for the NBDT journal and can potentially be useful in other domains as well.",https://summerofcode.withgoogle.com/programs/2023/projects/4PUfTQfh
Improving and adding features of Zulip Terminal,SUBHASISH BEHERA,https://gist.github.com/Subhasish-Behera/d4401b4b140df5c0d9aea53ed1b98680,Mounil Kamlesh Shah,Zulip,"python, Urwid","MVC architecture, Client-Side Architecture","Zulip Terminal is a TUI which caters to users who use Zulip through their terminal. But, many functionalities in Zulip Web App are not currently implemented in Zulip Terminal. The features/areas this project will focus on are a) Achieving the same level of notification functionality as Web App. b) Add the feature of file upload along with other related issues. c)Support muting/unmuting of users d)Support Alert-Words. Most of the issues need work on multiple areas such as event handling, UI changes/additions, Migrations etc.",https://summerofcode.withgoogle.com/programs/2023/projects/lsL9rlTY
Implement the Feature to Create and Manage VPNs in Cockpit,Subho,https://subhoghosh.com/blog/gsoc-2023,"mmarusak, Martin Pitt",Cockpit Project,"python, linux, javascript, react","web, linux, operating system, vpn, Server Administration","This project aims to develop a user-friendly interface for configuring and managing popular VPN protocols like WireGuard and OpenVPN on Linux servers within the Cockpit web interface. By simplifying the process of setting up and managing VPNs on Linux servers, this project will enable users to easily and securely connect to their servers. I will collaborate with the Cockpit community to develop the necessary backend functionality and user interface features for the project.",https://summerofcode.withgoogle.com/programs/2023/projects/SF3rQQZc
Qt5 Application to Visualise/ Simulate CAN bus traffic using Kuksa.val,Suchinton Chakravarty,https://suchinton.github.io/articles/final-report/,"Walt Miner, Jan-Simon Möller, Scott Murray, Marius Vlad",The Linux Foundation,"python, qt5, Kuksa.val, AGL","Embedded Linux, CAN bus, Kuksa","The objective of this project is to develop a Qt5 application that will allow the end-users to emit signals using Kuksa.val to visualize and interact with AGL Demo applications, such as the IC, IVI, HVAC and the Green Machine, that display CAN data through Kuksa.val.",https://summerofcode.withgoogle.com/programs/2023/projects/4GykHUGj
pgagroal: Query Cache,Sudeep Reddy,https://github.com/agroal/pgagroal/discussions/376,"Jesper Pedersen, Nikita Bugrovsky",PostgreSQL,"c, postgresql, valgrind, uthash, linux perf","database, System Design, Cache","This project involves adding a query caching feature to pgagroal, a high-performance connection pool for PostgreSQL. The goal is to enhance application performance by reducing data retrieval time, minimising database load, cutting down on network traffic, and achieving cost savings. This project is experimental and involves testing different query caching methods and comparing their effectiveness to not having one.",https://summerofcode.withgoogle.com/programs/2023/projects/5S8jEX0h
LG Gesture and Voice Control,Sudhanyo Chatterjee,https://github.com/Sudhanyo/LG-Gesture-And-Voice-Control,"Andreuibanez, Gabry, Merul Dhiman, Alejandro Illán Marcos",Liquid Galaxy project,"android, java, kotlin, flutter, dart","machine learning, android, ux, Gesture Control, Mobile application","The LG Gesture and Voice Control Project aims to improve the control of the Liquid Galaxy Rig by providing a more comprehensive solution using voice commands, body poses, and hand gestures. The project will consist of two parts: the LG Gesture and Voice Control App and the LG Gesture and Voice Control Library. The core technology used to make the above would be Flutter (Dart), and incorporate various APIs, especially ML Kit and Geocoding. The app will offer a more intuitive approach for users to interact with the Liquid Galaxy setup, making it simpler to explore and navigate. Users will be able to control the Liquid Galaxy without physically touching any devices, increasing the immersive experience. The LG Gesture and Voice Control Library will allow for the implementation of the app's key functionalities in other Liquid Galaxy apps and projects, providing a wider range of situations for implementation. One potential application for the library is incorporating it into the previously built Liquid Galaxy Controller to provide additional functionality for voice and gesture control, enhancing the user experience.",https://summerofcode.withgoogle.com/programs/2023/projects/q7XviTSE
Expanding Support for GCP Resources with Modularized Crawler,Sudipto Baral,https://summerofcode.sudiptobaral.com/,"Maksim Shudrak, underhill, Guillaume",GCP Scanner,"python, gcp, cloud","Infrasturcture as Code, security tool","GCP Scanner is a crucial tool for security engineers, providing insights into the access levels of various GCloud credentials. This project proposal focuses on enhancing the GCP Scanner by supporting scanning for additional GCP resources such as Cloud Run, Cloud DNS, Datastore, etc. Additionally, a plan for refactoring the crawler and unit tests for better maintainability and scalability is proposed. It also includes my relevant experience, contributions, and qualifications to maintain and improve the GCP Scanner.",https://summerofcode.withgoogle.com/programs/2023/projects/mt5Rm2H9
Interactive Quiz Game for Beginner Coding Education using Luna&Cat IDE,Sufeen Shaikh,https://share.catrob.at/pocketcode/project/f2c8723b-b9fa-49aa-89cc-7a5b7ea44663,"Maria Seiser, Sarina Gursch",International Catrobat Association,"Luna&Cat IDE app, Catrobat's visual programming language, 2D game design principles, Smart TV compatibility","mobile app, visual programming, game development, Licenses and open-source development.","The principal objective of this GSoC project is to conceive and develop an educational game that will serve as an interactive and captivating medium for introducing novice learners to the fundamental principles of coding, leveraging the Luna&Cat IDE app. By integrating interactive challenges and a visually captivating interface, learners will be provided with hands-on experience in utilizing the Catrobat language, thereby fostering the development of their problem-solving acumen and logical reasoning abilities. The overarching aim of this endeavour is to empower aspiring learners with the essential skills and knowledge required to embark on their coding journey, thus rendering programming an accessible and enjoyable pursuit.",https://summerofcode.withgoogle.com/programs/2023/projects/MQ4HCoij
Improved Continuous Integration for Reactome,Sukanya Krishna,https://docs.google.com/document/d/1-XuX4gTXukKFAE-t_H5ZYC2auqsg7EO3Tq9jQIEACZs/edit,adamjohnwright,Open Genome Informatics,"java, github, docker, kubernetes, jenkins, bash, aws","web, continuous integration, Continuous Deployment","Currently, at the Ontario Institute of Cancer Research, Jenkins is being used to run the release pipelines and this project proposes moving the system into a more automated format – to use Docker containers with a CI/CD-based system. In the standard release process, as project code will be built and pushed to the main branch for each GitHub repository, as a result, multiple dependencies would also be triggered to be built as well. In this way, we will know if a change in a dependency has correctly integrated into the broader code base. A lot of this testing is done manually, so automating this system can make the time frame for making a release much smaller. With a continuous integration system, we will integrate these artifacts with the release ETL (Extract Transform Load) pipelines.",https://summerofcode.withgoogle.com/programs/2023/projects/FNZtunYS
Real-time lossless data compression for the FASER experiment,Sumalyo Datta,https://gist.github.com/Sumalyo/1fbb17299c3dd3195cde10786409dd27,"Brian Petersen, Claire Antel",CERN-HSF,c++,data compression,"This project aims to add support for real-time lossless compression libraries and algorithms in the data acquisition system that is being used for the FASER experiment, to reduce storage costs. This would be done after thorough exploration and experimentation, identifying suitable compression libraries which can be integrated seamlessly into the system. Detailed documentation of the entire process and support for the decompression of compressed data (for physics analysis) will also be provided.",https://summerofcode.withgoogle.com/programs/2023/projects/6JxnmPQ0
Implementation of Web Interface of Retroshare,Sumit Kumar Soni,https://blog.freifunk.net/2023/08/27/gsoc23-implementation-of-web-interface-of-retroshare-final-report/,"Cyril Soler, G10h4ck",freifunk,"javascript, c++, Mithril.js","web, Decentralized Social Network","RetroShare is a C++ software program that comprises a headless lib called ""libretroshare"". This lib is utilized to implement Retroshare application for various platforms. Retroshare also has a web interface which communicates with libretroshare using a JSON API that is automatically generated and contains all necessary functions for sending and receiving data from the software. The aim of my involvement in this year’s GSoC program is to create the remaining interface of the Retroshare's Web Interface. I will develop a list of features such as creating panels for software configuration, managing shared files, directories etc and will also fix the existing ones such as Files, Mail, Forums, Channel section etc.",https://summerofcode.withgoogle.com/programs/2023/projects/tFSIOQNm
Re-optimization using JITLink,Sunho Kim,https://gist.github.com/sunho/bbbf7c415ea4e16d37bec5cea8adce5a,"Vassil Vassilev, Stefan Gränitz, lhames",LLVM Compiler Infrastructure,"llvm, JIT","compiler, Code Optimization","In Just-In-Time compilers we often choose a low optimization level to minimize compile time and improve launch times and latencies, however some functions (which we call hot functions) are used very frequently and for these functions it is worth optimizing more heavily. In general hot functions can only be identified at runtime (different inputs will cause different functions to become hot), so the aim of the reoptimization project is to build infrastructure to (1) detect hot functions at runtime and (2) compile them a second time at a higher optimization level, hence the name ""re-optimization"". There are many possible approaches to both parts of this problem. E.g. hot functions could be identified by sampling, or using existing profiling infrastructure, or by implementing custom instrumentation. Reoptimization could be applied to whole functions, or outlining could be used to enable optimization of portions of functions. Re-entry into the JIT infrastructure from JIT’d code might be implemented on top of existing lazy compilation, or via a custom path. Whatever design is adopted, the goal is that the infrastructure should be generic so that it can be used by other LLVM API clients, and should support out-of-process JIT-compilation (so some of the solution will be implemented in the ORC runtime).",https://summerofcode.withgoogle.com/programs/2023/projects/4vqXC8Ez
Improvements in EvalAI User Interface,Suryansh Pathak,https://medium.com/@suryanshpathak5545/gsoc-2023-with-cloudcv-8cf9c8ae3d05,"Gunjan Chhablani, Rahul-Singh, Gautam Jajoo",CloudCV,"python, docker, angularjs, Dajngo",VQA,"This project aims to enhance and optimize the existing platform by implementing several important features and improvements. These changes include the addition of domains, tags, and a prize and sponsor page, as well as the introduction of a deregister process, a revamped profile page with a new tabular UI design, a participant team approval feature, and the inclusion of GMT time stamps and many more features.",https://summerofcode.withgoogle.com/programs/2023/projects/oPOQoAJ7
Support CycloneDX report,Sushant Kumar,https://github.com/its-sushant/GSoC-23,"Gaurav Mishra, Avinal Kumar, HastagAB, Kaushlendra",FOSSology,"python, postgresql, c++, php","license compliance, SBOM","Currently, FOSSology generates SBOM in SPDX format, which allows for integration with various tools. However, CycloneDX is another popular format for generating SBOMs. By integrating CycloneDX report generation in FOSSology, it will be possible to work with other tools that use CycloneDX. Although a PHP library exists for generating CycloneDX reports, it cannot be used because it is licensed under Apache-2.0, while FOSSology is under GPL-2.0. Therefore, a custom implementation of CycloneDX report generation in FOSSology is necessary. So the main goal of this project focuses on the implementation of CycloneDX report generation in FOSSology.",https://summerofcode.withgoogle.com/programs/2023/projects/DrUld2iF
Advancements in 3D Cellular Microscopy Imaging Through Fine-Tuned CellSAM and DevoNet Models,Sushmanth Reddy Mereddy,https://gist.github.com/sushmanthreddy/618e642d2adfc6b58b6b5df0e9dbd3cd,"Jesse Parent, Bradly Alicea, Jiahang Li, Mayukh Deb",INCF,"python, pytorch, chainer, topological data analysis","machine learning, computer vision, deep learning, Graph Neural Network","This project centers on the enhancement and integration of the CellSAM and DevoNet models to elevate the analysis of 3D microscopy images stored in TIFF format. CellSAM, initially a segment-anything model, was fine-tuned to allow promptable segmentation of cellular structures in microscopy images. Conversely, DevoNet, a dual vision encoder model, operates seamlessly on 3D TIFF files. One encoder is trained on segmentation maps while the other specializes in analyzing the centroid position of cells. This synchronized operation aids in the precise calculation of cellular volume, area, and centroid locations. The collaborative mechanism between the fine-tuned CellSAM and DevoNet models provides a robust framework for more accurate and insightful analysis of 3D cellular microscopy images, thereby broadening the understanding of cellular morphologies and interactions within a three-dimensional space.",https://summerofcode.withgoogle.com/programs/2023/projects/ecYYjkHc
Enhance CMA-ES,Suvarsh,https://docs.google.com/document/d/1v3YDuYgO4iW2FKMdtpjkEjGUtgkf35lOi-DdSWk689w/edit?usp=sharing,Marcus Edel,mlpack,c++,"machine learning, linear algebra, optimization, CMA-ES","Covariance Matrix Adaptation Evolution Strategy (CMA-ES) is an evolutionary strategy which updates the covariance matrix of a normal search distribution. It is used for the optimization of non-linear and non-convex functions. The aim of this project is to implement the following algorithms which enhance the performance of (vanilla/plain) CMA-ES: Self-adaptive surrogate-assisted covariance matrix adaptation evolution strategy (saACM-ES), a Restart CMA Evolution Strategy with increasing population size (IPOP-CMA-ES), and Active Covariance Matrix Adaptation (Active-CMA-ES). The API design of each should match that of the rest of the code base. In addition to these, appropriate tests and documentation shall be implemented.",https://summerofcode.withgoogle.com/programs/2023/projects/8OY3OEEn
Bug Logging Tool,Swapnil Shinde,https://gist.github.com/AtmegaBuzz/512a85827b5cc993e35c274dcbada669,"Aryan Ranjan, DonnieBLT",OWASP Foundation,"python, django, Ethereum, Tailwind","backend, blockchain, smart-contracts","The primary objective of this proposal is to: 1. Enhance the user interface for new designs in Tailwind, thereby optimizing the user experience. In order to achieve this, we will be developing APIs for BLT Flutter, which will provide greater flexibility and scalability to our system. 2. Additionally, I plan to implement an independent blockchain, which will enable us to create our own cryptocurrency, BACON coin. This will allow us to incentivize our testers whenever they receive likes on the bugs they post, thereby driving greater engagement and participation on our platform.",https://summerofcode.withgoogle.com/programs/2023/projects/FrMdpNvR
IDE Plugins for editing vela applications,Swastik Gour,https://gist.github.com/swastik959/913bdca221f6f4c5283c4104846d834b,Somefive,CNCF,"golang, kubernetes, KubeVela, CUElang","web, cloud, Parsing, Plugins, Vscode, jetbrains","One possible way to use the Kubernetes API to connect to the KubeVela Control Plane in the background and fetch the required information like X-Definitions, ComponentDefinitions, TraitDefinitions, PolicyDefinitions, and WorkflowStepDefinitions. The plugin can then use this information to provide syntax highlighting and autocompletion for these definitions in the YAML files. To preview the rendering result of components and traits, the plugin can use the Kubernetes API to create a dry-run of the KubeVela application on the remote cluster. The output can be displayed in the IDE to give users an idea of how the application will look when it's deployed. To compare the difference between the current application configuration and the corresponding one on the remote cluster, the plugin can use the Kubernetes API to fetch the current configuration and compare it with the local one. The differences can be highlighted in the IDE for easy identification. To preview the selected clusters by the topology policy, the plugin can use the Kubernetes API to fetch the list of clusters and display them in the IDE. The plugin can also use the Kubernetes API to fetch the topology policy and apply it to the list of clusters to display the selected clusters. For ComponentDefinition and TraitDefinition, the plugin can use the CUE language to provide validation for the CUE input and preview the rendering result. The plugin can also use the Kubernetes API to fetch the ComponentDefinition and TraitDefinition and display them in the IDE for reference.",https://summerofcode.withgoogle.com/programs/2023/projects/ne8pFt1F
Rust bindings for libnbd,Tage Johansson,https://gist.github.com/tage64/73972c2452092c05e6d0017cd448c75d,Richard Jones,QEMU,"c, rust, qemu, ocaml",virtualization,"Network Block Device (NBD) is a protocol for exporting block devices, either between processes or across the network. Libnbd is a client library for talking to NBD servers. Currently, this library has bindings in various languages, including C, Golang and Python, but not in Rust. This project aims to make ergonomic Rust bindings for libnbd. The bindings should be automatically generated from the API of libnbd, so they will keep in sync as the library evolves. Apart from the actual bindings, several tests and examples will be created and good documentation will be written.",https://summerofcode.withgoogle.com/programs/2023/projects/nh7sGpK6
Improvements in Clang Diagnostics,Takuya Shimizu,https://docs.google.com/document/d/1k4Jxh6ATzpFSaDgfkT7ALBCcuj6lRE-PKblt9UGuYu8/edit?usp=sharing,Timm Bäder,LLVM Compiler Infrastructure,"c++, compiler","programming language, diagnostics, compiler","Clang diagnostic is an interface for programmers that assists them in writing bug-free, efficient source codes. The aim of this proposal is to improve overall clang diagnostics and its usability by resolving existing issues labeled clang:diagnostics and possibly uncovering and resolving new issues we encounter throughout the project.",https://summerofcode.withgoogle.com/programs/2023/projects/wxRFR261
